"","pct_sig","sample_size","baseline_nps","comparison_nps","nps_increase"
"1",4.6,100,"30","40",10
"2",4,100,"40","50",10
"3",2.1,100,"50","60",10
"4",4.7,100,"60","70",10
"5",6.6,100,"70","80",10
"6",12.9,100,"80","90",10
"7",1.5,100,"30","35",5
"8",1.5,100,"35","40",5
"9",1.6,100,"50","55",5
"10",1.2,100,"55","60",5
"11",1.2,100,"60","65",5
"12",2,100,"70","75",5
"13",2.5,100,"75","80",5
"14",2.8,100,"80","85",5
"15",8.8,250,"30","40",10
"16",9.1,250,"40","50",10
"17",7.8,250,"50","60",10
"18",14.6,250,"60","70",10
"19",21.5,250,"70","80",10
"20",33.8,250,"80","90",10
"21",2.1,250,"30","35",5
"22",1.6,250,"35","40",5
"23",1.9,250,"50","55",5
"24",2.2,250,"55","60",5
"25",3.4,250,"60","65",5
"26",3.1,250,"70","75",5
"27",3.4,250,"75","80",5
"28",3.1,250,"80","85",5
"29",23,500,"30","40",10
"30",22.7,500,"40","50",10
"31",21,500,"50","60",10
"32",39.8,500,"60","70",10
"33",45.7,500,"70","80",10
"34",74.3,500,"80","90",10
"35",3.7,500,"30","35",5
"36",3.7,500,"35","40",5
"37",4.1,500,"50","55",5
"38",3.1,500,"55","60",5
"39",5.5,500,"60","65",5
"40",6.9,500,"70","75",5
"41",8.9,500,"75","80",5
"42",9.2,500,"80","85",5
"43",54.5,1000,"30","40",10
"44",60.2,1000,"40","50",10
"45",48.3,1000,"50","60",10
"46",76.4,1000,"60","70",10
"47",83.1,1000,"70","80",10
"48",98.1,1000,"80","90",10
"49",8.8,1000,"30","35",5
"50",8.3,1000,"35","40",5
"51",8.7,1000,"50","55",5
"52",9.1,1000,"55","60",5
"53",14.7,1000,"60","65",5
"54",18.3,1000,"70","75",5
"55",16.4,1000,"75","80",5
"56",22.8,1000,"80","85",5
"57",75.7,1500,"30","40",10
"58",83.6,1500,"40","50",10
"59",75.8,1500,"50","60",10
"60",93.5,1500,"60","70",10
"61",96.8,1500,"70","80",10
"62",100,1500,"80","90",10
"63",13.7,1500,"30","35",5
"64",10.5,1500,"35","40",5
"65",16.3,1500,"50","55",5
"66",12.2,1500,"55","60",5
"67",28.5,1500,"60","65",5
"68",27.8,1500,"70","75",5
"69",35.4,1500,"75","80",5
"70",39.7,1500,"80","85",5
"71",89.8,2000,"30","40",10
"72",93.7,2000,"40","50",10
"73",89.6,2000,"50","60",10
"74",98,2000,"60","70",10
"75",99.3,2000,"70","80",10
"76",100,2000,"80","90",10
"77",21.2,2000,"30","35",5
"78",16.2,2000,"35","40",5
"79",23.8,2000,"50","55",5
"80",18.8,2000,"55","60",5
"81",34.5,2000,"60","65",5
"82",47,2000,"70","75",5
"83",45.4,2000,"75","80",5
"84",63.2,2000,"80","85",5
"85",99.5,3000,"30","40",10
"86",99.2,3000,"40","50",10
"87",98.2,3000,"50","60",10
"88",99.9,3000,"60","70",10
"89",100,3000,"70","80",10
"90",100,3000,"80","90",10
"91",49.2,3000,"30","35",5
"92",40.3,3000,"35","40",5
"93",35,3000,"50","55",5
"94",27.5,3000,"55","60",5
"95",65.5,3000,"60","65",5
"96",69.1,3000,"70","75",5
"97",58.6,3000,"75","80",5
"98",88.5,3000,"80","85",5
"99",99.6,4000,"30","40",10
"100",100,4000,"40","50",10
"101",99.9,4000,"50","60",10
"102",100,4000,"60","70",10
"103",100,4000,"70","80",10
"104",100,4000,"80","90",10
"105",50.5,4000,"30","35",5
"106",51.5,4000,"35","40",5
"107",56.1,4000,"50","55",5
"108",49.7,4000,"55","60",5
"109",74.6,4000,"60","65",5
"110",91.2,4000,"70","75",5
"111",84.6,4000,"75","80",5
"112",89.8,4000,"80","85",5
"113",100,5000,"30","40",10
"114",100,5000,"40","50",10
"115",100,5000,"50","60",10
"116",100,5000,"60","70",10
"117",100,5000,"70","80",10
"118",100,5000,"80","90",10
"119",75.1,5000,"30","35",5
"120",62.1,5000,"35","40",5
"121",57.4,5000,"50","55",5
"122",53.2,5000,"55","60",5
"123",93.6,5000,"60","65",5
"124",91.4,5000,"70","75",5
"125",86.2,5000,"75","80",5
"126",99.2,5000,"80","85",5
